Name: 意大利 Iunior TV, URL: https://5f22d76e220e1.streamlock.net/iuniortv/iuniortv/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 法国, ISP: , Date: None, Delay: 2254 ms, Speed: 1.01 M/s, Resolution: 1280x720
Name: 意大利 Reteveneta, URL: https://59d7d6f47d7fc.streamlock.net/reteveneta/reteveneta/chunklist_w1193659434.m3u8, From: local, IPv_Type: ipv4, Location: 法国, ISP: OVH, Date: None, Delay: 1634 ms, Speed: 0.61 M/s, Resolution: 1024x576
Name: 意大利SuperTV, URL: http://wms.shared.streamshow.it:1935/supertv/supertv/live.m3u8, From: local, IPv_Type: ipv4, Location: 法国, ISP: OVH, Date: None, Delay: 3468 ms, Speed: 0.59 M/s, Resolution: 1280x720
Name: 意大利SuperTV, URL: http://wms.shared.streamshow.it:1935/supertv/supertv/live.m3u8, From: local, IPv_Type: ipv4, Location: 法国, ISP: OVH, Date: None, Delay: 3468 ms, Speed: 0.59 M/s, Resolution: 1280x720
Name: 哥斯达黎加 Extrema TV, URL: http://livestreamcdn.net:1935/ExtremaTV/ExtremaTV/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 1691 ms, Speed: 1.53 M/s, Resolution: 1280x720
Name: 哥斯达黎加 Extrema TV, URL: http://livestreamcdn.net:1935/ExtremaTV/ExtremaTV/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 1691 ms, Speed: 1.53 M/s, Resolution: 1280x720
Name: 加拿大The Shopping Channel, URL: http://tscstreaming-lh.akamaihd.net/i/TSCLiveStreaming_1@91031/master.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: Akamai节点, Date: None, Delay: 126 ms, Speed: 16.03 M/s, Resolution: 1280x720
Name: 加拿大The Shopping Channel, URL: http://tscstreaming-lh.akamaihd.net/i/TSCLiveStreaming_1@91031/master.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: Akamai节点, Date: None, Delay: 126 ms, Speed: 16.03 M/s, Resolution: 1280x720
Name: 德国 KulturMD, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/kulturmd_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 KulturMD, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/kulturmd_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 MDF.1, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/mdf1_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 OK Dessau, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-dessau_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 OK Magdeburg, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-magdeburg_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 OK Merseburg-Querfurt, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-merseburg_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
